pid,mid,home,on,off
1,1,TRUE,0,-1
2,1,TRUE,0,-1
3,1,TRUE,0,-1
5,1,TRUE,0,-1
11,1,TRUE,0,-1
7,1,TRUE,0,58
12,1,TRUE,0,-1
10,1,TRUE,0,-1
13,1,TRUE,67,-1
1,6,FALSE,0,-1
2,6,FALSE,0,-1
5,6,FALSE,0,-1
6,6,FALSE,0,-1
11,6,FALSE,0,75
12,6,FALSE,75,-1
7,6,FALSE,0,46
15,6,FALSE,0,-1
13,6,FALSE,0,75
10,6,FALSE,75,-1
17,6,TRUE,0,-1
18,6,TRUE,0,-1
19,6,TRUE,0,92
20,6,TRUE,0,-1
21,6,TRUE,0,82
22,6,TRUE,0,-1
11,2,FALSE,0,83
12,2,FALSE,0,-1
11,5,true,0,84
12,5,true,75,-1
15,5,true,0,75
15,7,false,0,80
12,7,false,80,-1
5,7,false,0,-1
13,7,false,0,-1
11,7,false,0,-1
13,8,true,0,81
11,8,true,0,75
15,8,true,0,75