id,person,pos,goals,begin,team_begin,end,team_end,rating,att,def,gk
1,2,G,,,,,88,,,84,1998
2,3,D,36,,,,85,53,86,,2002
3,4,D,37,,,,82,52,85,,2003
4,5,D,7,2,,,78,62,79,,2005
5,6,D,8,,,,80,63,80,,2006
6,7,D,4,2,,,80,60,78,,2014
7,8,M,2,2,,,79,57,78,,2008
8,9,M,19,,,,77,60,72,,2010
9,10,M,63,,,,83,74,66,,2006
10,11,M,39,13,,,80,83,51,,2009
11,12,M,96,,,,89,92,33,,2006
12,13,F,219,,,,83,88,23,,2004
13,14,F,202,,,,88,95,38,,2005
14,15,F,72,10,,,80,84,29,,2008
15,16,F,116,13,,,81,83,39,,2005
16,20,G,,,,,89,,,91,2008
17,21,D,48,3,,,83,80,44,,2004
18,22,D,8,,,,83,65,86,,2006
19,23,M,133,2,,,86,83,69,,2003
20,24,M,139,,,,89,93,25,,2007
21,25,F,162,,,,86,90,23,,2005
22,26,F,148,,,,83,88,31,,2006
23,30,M,156,,2005,,93,95,74,,1988