id,name,country,city,capacity,year
1,Dean Court,England,Bournemouth,11464,1910
2,Emirates Stadium,England,London,60432,2006
3,Villa Park,England,Birmingham,42682,1897
4,Stamford Bridge,England,London,41663,1876
5,Selhurst Park,England,London,25456,1924
6,Goodison Park,England,Liverpool,40157,1892
7,King Power Stadium,England,Leicester,32312,2002
8,Anfield,England,Liverpool,54074,1884
9,City of Manchester Stadium,England,Manchester,55097,2002
10,Old Trafford,England,Manchester,75643,1909
11,St James' Park,England,Newcastle,52354,1892
12,Carrow Road,England,Norwich,27244,1935
13,St. Mary's Stadium,England,Southampton,32505,2000
14,bet365 Stadium,England,Stoke,27902,1997
15,Stadium of Light,England,Sunderland,49000,1997
16,Liberty Stadium,Wales,Swansea,21088,2003
17,White Hart Lane,England,London,36284,1898
18,Vicarage Road Stadium,England,Watford,23700,1922
19,The Hawthorns,England,West Bromwich,26850,1900
20,Upton Park(d),England,London,35016,1904
21,London Stadium,England,London,57000,2008