id,team,season,league,played,win,draw,loss,for,against,diff,points,position
1,7,2,1,38,23,12,3,68,36,+32,81,1
2,2,2,1,38,20,11,7,65,36,+29,71,2
3,17,2,1,38,19,13,6,69,35,+34,70,3
4,9,2,1,38,19,9,10,71,41,+30,66,4
5,10,2,1,38,19,9,10,49,35,+14,66,5
6,13,2,1,38,18,9,11,59,41,+18,63,6
7,20,2,1,38,16,14,8,65,51,+14,62,7
8,8,2,1,38,16,12,10,63,50,+13,60,8
9,14,2,1,38,14,9,15,41,55,-14,51,9
10,4,2,1,38,12,14,12,59,53,+6,50,10
11,6,2,1,38,11,14,13,59,55,+4,47,11
12,16,2,1,38,12,11,15,42,52,−10,47,12
13,18,2,1,38,12,9,17,40,50,−10,45,13
14,19,2,1,38,10,13,15,34,48,−14,43,14
15,5,2,1,38,11,9,18,39,51,−12,42,15
16,1,2,1,38,11,9,18,45,67,−22,42,16
17,15,2,1,38,9,12,17,48,62,−14,39,17
18,11,2,1,38,9,10,19,44,65,−21,37,18
19,12,2,1,38,9,7,22,39,67,−28,34,19
20,3,2,1,38,3,8,27,27,76,−49,17,20