id,name,logo,year,country,color,arena
1,"AFC Bournemouth","afc_bournemouth.png",1899,"England","black and red","Dean Court"
2,"Arsenal","arsenal.png",1886,"England","red","Emirates Stadium"
3,"Aston Villa","aston_villa.png",1874,"England",,"Villa Park"
4,"Chelsea","chelsea.png",1905,"England","blue","Stamford Bridge"
5,"Crystal Palace","crystal_palace.png",1905,"England",,"Selhurst Park"
6,"Everton","everton.png",1878,"England","blue","Goodison Park"
7,"Leicester City","leicester_city.png",1884,"England","blue","King Power Stadium"
8,"Liverpool","liverpool.png",1892,"England","red","Anfield"
9,"Manchester City","manchester_city.png",1880,"England","blue","Etihad Stadium"
10,"Manchester United","manchester_united.png",1878,"England","red","Old Trafford"
11,"Newcastle United","newcastle_united.png",1892,"England","black and white","St James' Park"
12,"Norwich City","norwich_city.png",1902,"England","green","Carrow Road"
13,"Southampton","southampton.png",1885,"England","red","St Mary's Stadium"
14,"Stoke City","stoke_city.png",1863,"England",,"Britannia Stadium"
15,"Sunderland","sunderland.png",1879,"England",,"Stadium of Light"
16,"Swansea City","swansea_city.png",1912,"England","white","Liberty Stadium"
17,"Tottenham Hotspur","tottenham_hotspur.png",1882,"England","white","White Hart Lane"
18,"Watford","watford.png",1881,"England","yellow","Vicarage Road"
19,"West Bromwich Albion","west_bromwich_albion.png",1878,"England",,"The Hawthorns"
20,"West Ham United","west_ham_united.png",1895,"England",,"Boleyn Ground"